"Table 2b: Publicly available electric vehicle rapid charging or above devices by local authority per 100,000 population, from October 2019 [Note 1, 3, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains 1 table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24
(50kW and above) [Note 14]","Jan-25
(50kW and above)",Apr-25 (50kW and above),Jul-25 (50kW and above),Oct-25 (50kW and above),Jan-26 (50kW and above)  [Note 16],Apr-26 (50kW and above),,,,,
K02000001,United Kingdom,3.8,4.3,4.7,4.8,5.3,5.8,6.4,6.8,7.3,7.7,8.2,8.9,9.5,10.3,11.4,12.6,13.3,15.1,17.3,18.5,20.2,21.4,22.9,24.7,25.7,25.9,27.7,,,,,
K03000001,Great Britain,3.8,4.4,4.8,4.9,5.4,5.9,6.5,6.9,7.5,7.9,8.4,9.1,9.8,10.5,11.7,12.9,13.6,15.4,17.6,18.8,20.6,21.7,23.2,25.1,26.1,26.3,28.2,,,,,
E92000001,England,3.6,4.1,4.5,4.6,5.2,5.7,6.3,6.6,7.2,7.5,8.0,8.8,9.4,10.0,11.1,12.3,13.1,14.9,16.9,18.1,19.9,21.1,22.3,24.0,25.1,25.6,27.4,,,,,
E12000001,North East,3.7,4.1,4.4,4.4,5.8,6.4,6.9,7.8,8.5,8.6,9.4,10.5,9.7,10.7,12.7,13.3,12.7,14.6,15.9,15.6,20.1,20.1,22.0,23.7,24.4,24.3,26.6,,,,,
E06000047,County Durham,2.5,2.5,2.7,2.6,2.8,3.6,4.0,4.5,4.9,5.4,6.8,7.1,7.9,10.0,10.5,11.5,12.9,13.4,14.8,15.3,18.0,18.4,23.5,24.0,25.4,26.2,28.8,,,,,
E06000005,Darlington,1.9,1.9,1.9,1.9,2.8,2.8,2.8,4.7,3.7,3.7,3.7,3.7,3.7,4.6,4.6,6.5,5.5,5.5,8.3,7.3,8.2,5.5,11.9,11.0,11.9,5.3,5.3,,,,,
E06000001,Hartlepool,0.0,0.0,1.1,1.1,1.1,1.1,1.1,2.1,3.2,3.2,3.2,3.2,2.1,4.3,6.5,5.4,5.4,8.6,8.6,8.5,8.5,8.5,8.5,14.9,14.9,13.2,14.3,,,,,
E06000002,Middlesbrough,2.8,4.3,4.3,4.3,4.3,5.0,5.0,5.0,5.0,5.0,7.8,7.8,7.8,7.7,10.4,10.4,11.1,12.5,16.0,15.5,16.2,16.2,16.2,16.9,18.2,16.6,16.6,,,,,
E06000057,Northumberland,7.5,8.1,8.1,8.1,11.8,13.3,14.6,17.9,22.5,21.9,21.9,25.9,20.1,21.5,22.4,24.3,20.2,20.2,20.2,13.3,37.6,39.5,41.0,44.1,42.2,41.0,42.2,,,,,
E06000003,Redcar and Cleveland,0.7,0.7,0.7,0.7,1.5,1.5,2.9,3.6,3.6,3.6,3.6,3.6,6.6,6.6,9.5,9.5,9.5,9.5,9.5,10.2,10.9,10.2,10.2,12.4,13.9,13.6,14.4,,,,,
